UnitID,Institution,OPEID8,Institution2,Street_address,City,ZIP,website,Mission_statement, Mission statement URL,blank
494524,Avenue Five Institute-South Austin Campus,04160701  ,Avenue Five Institute-South Austin Campus,500 E Ben White Boulevard Bld E Ste 100,Austin,78704-3259,www.avenuefive.edu/,Avenue Five Institute is dedicated to providing an enriched learning environment that empowers students to discover their passion for beauty and wellness and develop the professional and business skills needed to succeed in the creative world of cosmetology  esthetics  massage  therapy  and customer service fields.,,
441788,Aviation Institute of Maintenance-Dallas,03573300  ,Aviation Institute of Maintenance-Dallas,400 E. Airport Freeway,Irving,75061,https://www.aviationmaintenance.edu/campuses/dallas-tx/,Aviation Institute of Maintenance helps adult students gain the skills and attitudes necessary for a meaningful entry-level career position. We strive to be responsive to the needs of our students  as well as businesses  industries  and government. We are committed to high academic standards in all curricular offerings  and we are dedicated to providing the services that support our students’ efforts to succeed.,,
227748,Aviation Institute of Maintenance-Houston,04146700  ,Aviation Institute of Maintenance-Houston,7651 Airport Blvd.,Houston,77061,https://www.aviationmaintenance.edu/campuses/houston-tx/index.html,Aviation Institute of Maintenance helps adult students gain the skills and attitudes  necessary for a meaningful entry-level career position. We strive to be responsive to  the needs of our students  as well as businesses  industries  and government. We are  committed to high academic standards in all curricular offerings  and we are dedicated  to providing the services that support our students’ efforts to succeed.,,
420705,Bakke Graduate University,03110800  ,Bakke Graduate University,8515 Greenville Ave  Suite S206,Dallas,75243-7039,https://www.bgu.edu/,,https://bgu.edu/about/university-profile/,
414489,Baldwin Beauty School-North Austin,01226801  ,Baldwin Beauty School-North Austin,8440 Burnet Rd.  Ste 140,Austin,78757-7068,baldwinbeautyschools.com/,Baldwin Beauty Schools is committed to training students to excel in the cosmetology field and meet the expectations of the salon and spa industry.    Our professional staff and administration assists with job training by employing strong core business values that enable the student to obtain employment in the industry.    Our institution provides exceptional instructional training provided by Pivot Point International.    Through the leadership and education at Baldwin Beauty Schools  students can expect intensive practical in the student salon and a broad scope of theoretical knowledge.   Baldwin Beauty School's purpose is to propel the student into the a successful career in Cosmetology.,,
223056,Baldwin Beauty School-South Austin,01226800  ,Baldwin Beauty School-South Austin,3005 S Lamar,Austin,78704-4785,baldwinbeautyschools.com/,Baldwin Beauty Schools is committed to training students to excel in the Cosmetology field and meet the expectations of the salon and spa industry.    Our professional staff and administration assists with job training by employing strong core business values that enable the student to obtain employment in the industry.    Our institution provides exceptional instructional training provided by Pivot Point International.    Through the leadership and education that Baldwin Beauty Schools  students can expect intensive practical in the Student Salon and a broad scope of theoretical knowledge.    Baldwin Beauty School's purpose is to propel the student into a successful career in Cosmetology.,,
223083,Baptist Health System School of Health Professions,00660600  ,Baptist Health System School of Health Professions,8400 Datapoint Dr,San Antonio,78229,www.bshp.edu/,To develop and promote excellence by providing a solid foundation in health care education (using both traditional and distance learning formats) for future and current practitioners with a competent and compassionate approach to patient care and safety.,,
223117,Baptist Missionary Association Theological Seminary,02331200  ,Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,75766-5407,www.bmats.edu/,The purpose of the Seminary's divisions of undergraduate and graduate studies is to provide accredited undergraduate and graduate theological education for equipping individuals for Christ-centered service and leadership; to support the educational needs of the churches and agencies of the Baptist Missionary Association of America and other groups who share a like commitment to the authority of Scripture; and to serve as a resource center for critical thought and research in a context which nurtures the historical  doctrinal character of the churches of the Baptist Missionary Association of America.,,
444398,Baptist University of the Americas,03733300  ,Baptist University of the Americas,7838 Barlite Blvd.,San Antonio,78224-1364,www.bua.edu/,,https://www.bua.edu/en/about/mission/,
484048,Barber Institute of Texas,04229000  ,Barber Institute of Texas,2430 South High Street Ste B4,Longview,75602-3456,www.bit.edu/,,www.bit.edu,
223223,Baylor College of Medicine,00494900  ,Baylor College of Medicine,One Baylor Plaza,Houston,77030-3498,www.bcm.edu/,,https://www.bcm.edu/about-us/mission-vision-values,
223232,Baylor University,00354500  ,Baylor University, ,Waco,76798,www.baylor.edu/,,www.baylor.edu/about/index.php?id=88781,
483559,Bella Cosmetology and Barber College,04235900  ,Bella Cosmetology and Barber College,5015A Wesley,Greenville,75402,bellacollege.com/,,bellacollege.com,
224013,BK Cosmo College of Cosmetology,02058600  ,BK Cosmo College of Cosmetology,320 W. Water Street Suite E,Kerrville,78028-4312,www.bkcosmo.com/,The primary mission of BK Cosmo is to provide an exceptional education for students studying cosmetology to ensure they have the skills  confidence  and knowledge to be successful in the field of cosmetology and cosmetology instruction.,,
223427,Blinn College,00354900  ,Blinn College,902 College Ave,Brenham,77833-4098,www.blinn.edu/,,https://www.blinn.edu/about/index.html,
223506,Brazosport College,00728700  ,Brazosport College,500 College Dr,Lake Jackson,77566,www.brazosport.edu/,,www.brazosport.edu/about-bc/who-we-are/mission-vision-and-core-values/,
450304,Brite Divinity School,00363600  ,Brite Divinity School,2800 S. University Dr.,Fort Worth,76129,www.brite.edu/,Brite Divinity School educates and inspires people to serve God’s diverse world as leaders in  churches  the academy  and public life.,,
461740,Buckner Barber School,04177900  ,Buckner Barber School,1515 South Buckner Boulevard  Suite 147,Dallas,75217-1775,bucknerbarberschool.com/,,bucknerbarberschool.com/,
493734,Careers Institute of America,04280300  ,Careers Institute of America,13614 Midway Road,Dallas,75244-4310,www.careers-ins.com/,,www.careers-ins.com/about-us#1515366539665-5c21ae48-a886,
475750,Carrington College-Mesquite,02218002  ,Carrington College-Mesquite,3733 W. Emporium Circle,Mesquite,75150-6509,https://carrington.edu/,The mission of Carrington College is to provide learning opportunities to individuals in the communities it serves through post-secondary programs of study  which include general studies and professional preparation in career-focused majors.,,
449773,CCI Training Center-Arlington,04089400  ,CCI Training Center-Arlington,770 E. Road To Six Flags # 140,Arlington,76011,www.ccitraining.edu/,,https://www.ccitraining.edu/about-cci-training-center/,
379782,Center for Advanced Legal Studies,02604700  ,Center for Advanced Legal Studies,800 W Sam Houston Parkway S  Suite 100,Houston,77042-1912,www.paralegal.edu/,The mission of the Center for Advanced Legal Studies is to provide students with the skills and practical and ethical knowledge necessary to excel as paralegals and meet the needs of the legal  governmental  and corporate communities.,,
246460,Central Texas Beauty College-Round Rock,02239100  ,Central Texas Beauty College-Round Rock,1400 N. Mays,Round Rock,78664-4604,www.centraltexasbeautycollege.com/,,https://centraltexasbeautycollege.com/about/,
383464,Central Texas Beauty College-Temple,02239101  ,Central Texas Beauty College-Temple,2010 South 57th Street,Temple,76504-6948,www.centraltexasbeautycollege.com/,The major objective of Central Texas Beauty College is to prepare our students to become successful members of the Cosmetology profession. We also prepare students for the state commission examination.  In order to fulfill our objective  we must not only teach the techniques and artistry of cosmetology  but also teach poise  charm  self-reliance  business practices and personal and public hygiene. We also teach business practice and salon development.,,
223816,Central Texas College,00400300  ,Central Texas College,6200 West Central Texas Expressway,Killeen,76549-4199,www.ctcd.edu/,,https://www.ctcd.edu/about-ctc/mission-and-purpose/,
432269,CET-El Paso,02332838  ,CET-El Paso,294 Candelaria Street,El Paso,79907,https://cetweb.edu/,,https://cetweb.edu/about/our-mission/,
466930,Chamberlain University-Texas,00638508  ,Chamberlain University-Texas,11025 Equity Drive,Houston,77041,https://www.chamberlain.edu/,To educate  empower and embolden diverse healthcare professionals who advance the health of people  families  communities and nations.,,
449782,Champion Beauty College,04117900  ,Champion Beauty College,3920 FM 1960 West #210,Houston,77068,championbeautycollege.com/,,www.ChampionBeautyCollege.com,
223852,Charles and Sues School of Hair Design,01293000  ,Charles and Sues School of Hair Design,1711 Briarcrest Dr,Bryan,77802,www.charlesandsues.com/,,https://charlesandsues.com/about-us/,
492607,Chicago School of Professional Psychology at Dallas,02155311  ,Chicago School of Professional Psychology at Dallas,2101 Waterview Parkway,Richardson,75080-2208,https://www.thechicagoschool.edu/dallas/,,https://www.thechicagoschool.edu/why-us/about-the-chicago-school/mission/,
437732,Chicago School of Professional Psychology-College of Nursing,02155312  ,Chicago School of Professional Psychology-College of Nursing,2101 Waterview Pkwy,Richardson,75080,https://www.thechicagoschool.edu/academics/program-finder/?fwp_field_of_study=nursing&fwp_locations=dallas_program_page,,https://www.thechicagoschool.edu/why-us/about-the-chicago-school/mission/,
494630,Christ Mission College,04279400  ,Christ Mission College,10822 FM 1560 North,San Antonio,78254-1000,cmctx.edu/,,cmctx.edu/about/,
223898,Cisco College,00355300  ,Cisco College,101 College Heights,Cisco,76437,https://www.cisco.edu/,,https://www.cisco.edu/about/success,
223922,Clarendon College,00355400  ,Clarendon College,1122 College Drive,Clarendon,79226,www.clarendoncollege.edu/,Clarendon College is a comprehensive community college  committed to teaching  learning and providing access   to opportunities that assist in the holistic   development of its constituents and community. In   pursuit of this mission the college provides academic   transfer programs  career/technical education  student  services  developmental education programs  continuing  education/community service courses through a variety   of instructional methodology  including but not   limited to: face to face  distance education  and   hybrid delivery. Clarendon College strives to provide   diverse cultural enrichment opportunities for its   constituents.,,
223320,Coastal Bend College,00354600  ,Coastal Bend College,3800 Charco Rd,Beeville,78102,www.coastalbend.edu/,,www.coastalbend.edu/about_cbc/,
388520,College of Biblical Studies-Houston,03422400  ,College of Biblical Studies-Houston,7000 Regency Square Blvd.,Houston,77036-3211,www.cbshouston.edu/,,https://www.cbshouston.edu/mission.html,
379746,College of Health Care Professions,03128106  ,College of Health Care Professions,2616 S. Loop West Suite 201,Houston,77054,www.chcp.edu/,,www.chcp.edu,
226408,College of the Mainland,00709600  ,College of the Mainland,1200 Amburn Road,Texas City,77591-2499,www.com.edu/,,www.com.edu/about/mission.html,
247834,Collin County Community College District,02361400  ,Collin County Community College District,3452 Spur 399,McKinney,75069,www.collin.edu/,,https://www.collin.edu/aboutus/missioncorevalues.html,
366261,Commonwealth Institute of Funeral Service,00355600  ,Commonwealth Institute of Funeral Service,415 Barren Springs Dr,Houston,77090-5918,www.commonwealth.edu/,,www.commonwealth.edu/about/mission/,
460181,Concorde Career College-Dallas,00887101  ,Concorde Career College-Dallas,12606 Greenville Ave Ste 130,Dallas,75243,https://www.concorde.edu/campus/dallas-texas,,https://www.concorde.edu/about-us,
441742,Concorde Career College-Grand Prairie,03542300  ,Concorde Career College-Grand Prairie,305 W. Interstate 20,Grand Prairie,75052-3831,https://www.concorde.edu/campus/grand-prairie-texas,,https://www.concorde.edu/about-us,
460206,Concorde Career College-San Antonio,02361602  ,Concorde Career College-San Antonio,4803 NW Loop 410,San Antonio,78229,https://www.concorde.edu/campus/san-antonio-texas,,https://www.concorde.edu/about-us,
224004,Concordia University Texas,00355700  ,Concordia University Texas,11400 Concordia University Drive,Austin,78726,https://www.concordia.edu/,Concordia University Texas empowers students of all backgrounds to lead lives of critical thought  compassionate action and courageous leadership. As a liberal arts university rooted in the Lutheran tradition and affiliated with the Lutheran Church-Missouri Synod  Concordia develops the mind  heart  soul  and body  preparing leaders for lives of service.,,
486770,Cortiva Institute-Arlington,02279601  ,Cortiva Institute-Arlington,808 West I-20  Ste. 100,Arlington,76017-5818,www.cortiva.edu/,Our mission at Cortiva Institute is to provide the motivated student with a quality career-oriented education combined with practical experience to instill the knowledge  skills and confidence necessary to empower the student  upon graduation  to achieve success in the high demand fields of health  beauty and wellness.,,
482200,Cosmetology Academy of Texarkana,04224100  ,Cosmetology Academy of Texarkana,4115 N Kings Hwy Suite 110,Texarkana,75503,cosmetologyacademyoftexarkana.com/,The mission of Cosmetology Academy of Texarkana is to educate individuals to develop the knowledge and skills that will enable to achieve their goals  improve the productivity of their organizations  and provide leadership and services to their communities. Through this education  we will prepare each student to be employable in the job market.    We also aim to prepare each student in the career of cosmetology or instructor training. Prepare students for an entry level position in cosmetology or instructor training. Enable students to function as an assistant cosmetologist or instructor by teaching students not only the basics of cosmetology and instructing but also the most advanced techniques in the student's selected career.    The Cosmetology Academy of Texarkana program prepares students with professional skills for hair styling  manicuring  pedicures  skincare  hair shaping  chemical reformation  principles of hair coloring  and other related courses. Upon completion of the program students will be awarded certificates of graduation and then will be eligible to apply for the State Board Examination. Students who successfully complete the state exam will the become licensed cosmetologist.,,
226675,Covenant School of Nursing and Allied Health,00661200  ,Covenant School of Nursing and Allied Health,1919 Frankford Ave.,Lubbock,79407,covenanthealth.org/cson,,https://www.covenanthealth.org/contact-us/facilities/school-of-nursing/about-us/,
475608,Criswell College,04121800  ,Criswell College,4010 Gaston Avenue,Dallas,75246-1537,www.criswell.edu/,,www.criswell.edu/about/mission-values-goals/,
496715,CTK Healthcare & Career Institute,04294900  ,CTK Healthcare & Career Institute,3455 Belt Line Road,Irving,75062-7861,www.ctkhealthcare.com/,The mission of the CTK healthcare & Career Institute is to provide excellent professional healthcare education and training to improve the job prospects of our students  as well as the needs of the local labor market in the DFW community. We strive to offer students professional hands-on training  job-seeking skills  and placement services to prepare students for their chosen healthcare careers.,,
444565,Culinary Institute Inc,03723300  ,Culinary Institute Inc,7070 Allensby,Houston,77022-4322,www.culinaryinstitute.edu/,,https://culinaryinstitute.edu/about-cil/mission/,
480888,CyberTex Institute of Technology,04187800  ,CyberTex Institute of Technology,6300 La Calma Dr. Suite  350,Austin,78752,cybertex.edu/,,cybertex.edu/,
224226,Dallas Baptist University,00356000  ,Dallas Baptist University,3000 Mountain Creek Parkway,Dallas,75211-9299,https://www.dbu.edu/,The mission of Dallas Baptist University is to provide Christ-centered quality higher education in the arts  sciences  and professional studies at both the undergraduate and graduate levels to traditional age and adult students in order to produce servant leaders who have the ability to integrate faith and learning through their respective callings.,,
443021,Dallas Barber & Stylist College,03682400  ,Dallas Barber & Stylist College,9357 Forest Lane,Dallas,75243,www.dallasbarberandstylistcollege.com/,DB&SC IS COMMITTED TO PROVIDING QUALITY TRAINING IN THE FIELD OF BARBERING TO THE BROADEST SPECTRUM OF THE POPULATION WITHOUT REGARD TO RACE  COLOR  OR CREED. IT IS OUR OBJECTIVE TO INCORPORATE INTO THAT TRAINING THE NECESSARY CURRICULUM  AND MATERIALS TO INSURE THAT THE GRADUATE OF DB&SC HAS BEEN SCHOOLED IN A BROAD RANGE OF LIFE SKILLS  THIS ASPECT OF TRAINING IS A INTEGRAL PART OF OUR COMMITMENT TO FOSTERING A SENSE OF COMMUNITY AND COMMITMENT IN ALL OF OUR STUDENTS.,,
224244,Dallas Christian College,00694100  ,Dallas Christian College,2700 Christian Pkwy.,Dallas,75234-7299,www.dallas.edu/,Dallas Christian College educates and mentors students to be people of influence  engaging in their calling to the work of Christ in the Church and in the world.,,
224615,Dallas College,00445300  ,Dallas College,1601 Botham Jean Blvd.,Dallas,75215-3604,www.dallascollege.edu/pages/default.aspx,,https://www.dallascollege.edu/about/trustees/priorities/pages/default.aspx,
224271,Dallas Institute of Funeral Service,01076100  ,Dallas Institute of Funeral Service,3909 S Buckner Blvd,Dallas,75227-4314,https://www.dallasinstitute.edu/,,https://dallasinstitute.edu/about/mission,
224305,Dallas Theological Seminary,00356200  ,Dallas Theological Seminary,3909 Swiss Ave,Dallas,75204,www.dts.edu/,,www.dts.edu/about/mission-statement/,
224350,Del Mar College,00356300  ,Del Mar College,101 Baldwin Blvd.,Corpus Christi,78404-3897,www.delmar.edu/,,www.delmar.edu/becoming-a-viking/discover/about-us/mission-statement.html,
493804,Deluxe Barber College,04283200  ,Deluxe Barber College,12636 Nacogdoches Road,San Antonio,78217-2118,www.deluxebarbercollege.com/,,www.deluxebarbercollege.org,
482635,DeVry University-Texas,01072724  ,DeVry University-Texas,4800 Regent Blvd.  Ste. 200,Irving,75063,https://www.devry.edu/,DeVry University strives to close our society’s opportunity gap by preparing learners to thrive in careers shaped by continuous technological change. Through innovative programs  relevant partnerships and exceptional care  we empower students to meaningfully improve their lives  communities and workplaces.,,
461388,Diamonds Cosmetology College,04169100  ,Diamonds Cosmetology College,3321 Loy Lake Rd,Sherman,75090-2657,www.diamondscosmetology.com/,‘The mission of Diamonds Cosmetology College (DCC) is to educate individuals to develop the knowledge and skills that will enable them to achieve their professional goals  improve the productivity of their organizations  and provide leadership and services to their communities.  Through this education  we will prepare each student to be employable in the job market.’,,
458043,DuVall's School of Cosmetology,04154800  ,DuVall's School of Cosmetology,201 Harwood Rd Ste 218,Bedford,76021,duvallschool.com/,,duvallschool.com/history-overview/,
224527,East Texas Baptist University,00356400  ,East Texas Baptist University,One Tiger Drive,Marshall,75670-1498,https://www.etbu.edu/,As a Christ-centered institution  East Texas Baptist University educates students by integrating biblical faith and learning to develop mind  body  and soul through community engagement to prepare graduates to be Christian servant leaders in their calling to God and humanity.,,
224642,El Paso Community College,01038700  ,El Paso Community College,9050 Viscount Blvd,El Paso,79925-6507,www.epcc.edu/,,https://www.epcc.edu/about/mission,
495776,Elite Welding Academy,04206702  ,Elite Welding Academy,7119 Village Way,Houston,77087-2904,https://www.eliteweldingacademy.com/,,www.elitepipeweldingacademy.com,
224712,Episcopal Theological Seminary of the Southwest,00356600  ,Episcopal Theological Seminary of the Southwest,501 E. 32nd St.,Austin,78705,ssw.edu/,Rooted in the reconciling ministry of Christ  the mission of Seminary of the Southwest is to form people for vocations of ministry  service  and healing.,,
494472,Evvaylois Academy School of Beauty,04287200  ,Evvaylois Academy School of Beauty,2244 South Market Street,Brenham,77833,https://www.evvayloisschoolofbeauty.com/,EVVAYLOIS Academy School of Beauty provides a quality educational experience to produce strong working professionals in the Beauty Industry.,,
224758,Exposito School of Hair Design,02267100  ,Exposito School of Hair Design,3710 Mockingbird Ln.,Amarillo,79109-3208,expositoschoolofhair.com/,It is the purpose of Exposito School of Hair Design to prepare the student in the manipulative skills  technical knowledge  and attitudes desirable to develop a competent  licensed cosmetologist.  In our effort to accomplish this  we also hope to instill in each student good moral and social attitudes  a feeling of self-confidence  and pride in oneself.  Exposito School of Hair Design is also committed to provide career support to its graduates through its placement efforts with the goal of helping their graduates secure a job in the field of Cosmetology.    Since every student is unique in terms of interests  needs  and abilities  it is our responsibility to provide a program with classroom and lab experiences varied enough to meet each individual's needs.  It is our goal that these educational experiences may also provide them with habits  attitudes  appreciations  ideals  respect in fellow man  and knowledge and skills necessary for a successful career in our United States of America.,,
487490,Florida Career College-Houston,02305813  ,Florida Career College-Houston,70-A Farm to Market Road 1960 West,Houston,77090-1111,https://www.floridacareercollege.edu/,Driving personal and community transformation by empowering students to make a positive and enduring life change.,,
224828,Fort Worth Beauty School,02306700  ,Fort Worth Beauty School,4760 Hwy 377 South,Benbrook,76116,www.fortworthbeautyschoolinc.com/,Fort Worth Beauty School is committed to:   Educating students in the Cosmetology  Instructor  Facial and Manicure programs  using established teaching techniques and aids.  Preparing students to successfully pass State Board exam and be ready to enter into a career in the beauty industry.,,
392415,Fortis College,03493304  ,Fortis College,1201 West Oaks Mall,Houston,77082,https://www.fortis.edu/,Our mission is to provide an outstanding education in a supportive environment helping all students to succeed in their chosen careers.  Furthermore  we are committed to graduating qualified professionals who can participate in the community's medical services and contribute to the health and well being of all those they serve.,,
459958,Fortis Institute,03493305  ,Fortis Institute,450 N Sam Houston Pkwy E Ste 200,Houston,77060,https://www.fortis.edu/,Fortis Institute provides postsecondary career education to both traditional and nontraditional students through a variety of diploma programs that assist adult students in enhancing their career opportunities and improving problem-solving abilities.,,
224891,Frank Phillips College,00356800  ,Frank Phillips College,1301 W. Roosevelt St.,Borger,79008-5118,www.fpctx.edu/,,https://fpctx.edu/about-fpc/mission-statement/,
